batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
South Africa,Afghanistan,Barbados,87,42,6,6.6923076923076925,26.0,139
England,Pakistan,Dubai,62,65,7,6.763636363636364,43.0,160
Sri Lanka,Pakistan,Dubai,111,44,9,8.763157894736842,53.0,211
Sri Lanka,South Africa,Cape Town,121,6,3,6.368421052631579,29.0,134
India,New Zealand,Hamilton,178,0,5,8.9,51.0,179
South Africa,Sri Lanka,Johannesburg,0,118,10,0.0,0.0,113
South Africa,England,Cape Town,161,9,6,8.702702702702704,48.0,179
England,Sri Lanka,Colombo,45,99,9,12.857142857142858,45.0,187
Australia,Sri Lanka,Pallekele,46,95,10,11.04,46.0,263
Pakistan,West Indies,Trinidad,132,0,0,6.6,45.0,132
New Zealand,England,Delhi,106,42,8,8.153846153846153,39.0,153
Pakistan,South Africa,Centurion,34,99,9,9.714285714285714,34.0,168
New Zealand,Bangladesh,Mount Maunganui,169,21,7,10.242424242424242,69.0,195
England,Pakistan,Manchester,24,91,9,4.9655172413793105,24.0,131
Sri Lanka,Pakistan,Dubai,105,20,6,6.3,35.0,145
England,Afghanistan,Colombo,4,112,9,3.0,4.0,196
England,South Africa,Johannesburg,160,14,4,9.056603773584905,54.0,171
Bangladesh,New Zealand,Hamilton,43,74,5,5.608695652173913,25.0,78
New Zealand,Sri Lanka,Auckland,37,77,6,5.162790697674419,19.0,179
Bangladesh,Pakistan,Cape Town,54,80,9,8.1,39.0,140
West Indies,Bangladesh,Mirpur,61,71,8,7.469387755102041,36.0,197
West Indies,England,London,14,102,10,4.666666666666667,14.0,113
England,Sri Lanka,Colombo,88,61,7,8.94915254237288,36.0,187
South Africa,England,Chittagong,184,5,6,9.6,64.0,196
South Africa,England,Cape Town,4,114,10,4.0,4.0,154
England,Pakistan,Dubai,72,58,7,6.967741935483871,38.0,160
Sri Lanka,Pakistan,Lahore,27,98,9,7.363636363636363,27.0,147
South Africa,Pakistan,Dubai,37,90,9,7.4,37.0,150
Bangladesh,Pakistan,Pallekele,126,36,8,9.0,48.0,175
Pakistan,England,Manchester,149,24,8,9.3125,43.0,195
England,New Zealand,Hamilton,148,18,6,8.705882352941176,31.0,194
India,South Africa,Cape Town,63,77,9,8.790697674418604,36.0,172
Australia,Pakistan,Johannesburg,37,92,8,7.928571428571429,33.0,164
Sri Lanka,New Zealand,Auckland,71,49,4,6.0,32.0,142
South Africa,West Indies,Durban,61,88,10,11.4375,60.0,195
South Africa,Sri Lanka,Johannesburg,76,44,3,6.0,25.0,113
New Zealand,Sri Lanka,Pallekele,68,49,6,5.746478873239437,23.0,142
West Indies,Bangladesh,Mirpur,50,76,8,6.818181818181818,30.0,197
West Indies,New Zealand,Lauderhill,198,5,8,10.330434782608696,71.0,209
Pakistan,South Africa,Abu Dhabi,34,95,9,8.16,33.0,119
Pakistan,Sri Lanka,Colombo,10,107,9,4.615384615384615,10.0,175
India,South Africa,Colombo,61,65,7,6.654545454545454,32.0,152
England,South Africa,Cape Town,37,100,10,11.1,37.0,134
West Indies,South Africa,Johannesburg,205,0,4,10.25,37.0,205
West Indies,Sri Lanka,Colombo,138,19,5,8.198019801980198,41.0,162
West Indies,Australia,Sydney,36,81,8,5.538461538461538,24.0,138
England,Pakistan,Dubai,6,110,10,3.6,6.0,148
Pakistan,England,Dubai,120,16,5,6.923076923076923,42.0,144
India,Sri Lanka,Pallekele,155,0,7,7.75,35.0,155
South Africa,New Zealand,London,73,40,6,5.475,23.0,128
Pakistan,England,Dubai,87,33,5,6.0,41.0,129
New Zealand,India,Wellington,41,98,10,11.181818181818182,41.0,219
Bangladesh,Pakistan,Pallekele,5,116,10,7.5,5.0,175
West Indies,Pakistan,Barbados,50,50,4,4.285714285714286,13.0,111
Sri Lanka,Australia,Cape Town,3,115,9,3.6,3.0,101
Sri Lanka,Bangladesh,Johannesburg,33,93,9,7.333333333333333,33.0,147
West Indies,India,Lauderhill,88,11,2,4.844036697247707,25.0,95
